LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0064_001,S0064,S0064_002,,在诊所里，横七竖八的躺着鼻青脸肿的黑帮小弟，龙哥正黑着脸给他们一个个上药。,0,false,,,,,,
S0064_002,S0064,S0064_003,龙本体正常,“那群冒险者简直欺人太甚！大臣阁下，你看看他们，都被打成什么样了。”,1,false,,,,,,
S0064_003,S0064,S0064_004,骷髅思考,“所以，他们是被冒险者打的？”,0,false,,,,,,
S0064_004,S0064,S0064_005,龙本体正常,“虽然都是套麻袋打的所有没看到，但除了他们还有谁！”,1,false,,,,,,
S0064_005,S0064,S0064_006,公会长正常,“……说不定是邪教徒呢？你不是说要把他们全宰了吗？”,0,false,,,,,,
S0064_006,S0064,S0064_007,龙本体正常,“原本就快抓到了！都快找到他们据点了，结果来一群人把我的人套麻袋揍了一顿，过去之后人都被抓完了！”,1,false,,,,,,
S0064_007,S0064,S0064_008,龙本体正常,“除了冒险者还有谁！不就骂他们不干活吗，至于吗！原本还想用邪教徒换赏金的，现在医疗费都要赔进去了！”,1,false,,,,,,
S0064_008,S0064,S0064_009,骷髅思考,“……往好处想想，至少邪教徒抓到了？”,0,false,,,,,,
S0064_009,S0064,S0064_010,龙本体正常,“没用啊！我丢的东西没回来啊！我都不知道是不是一波邪教徒！”,1,false,,,,,,
S0064_010,S0064,END,骷髅正常,“节哀。”,0,false,,,,,,
说明,S0064,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0064,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0064,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0064,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0064,,,,,false,,,,,,
