LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0056_001,S0056,S0056_002,商会长惊讶,“人血钱？大臣阁下！这是赤裸裸的污蔑，是污蔑啊！”,1,false,,,,,,
S0056_002,S0056,S0056_003,,商会长在听闻此事之后直接扮演了一个滑跪与变脸，一把鼻涕一把泪的哭诉着。,0,false,,,,,,
S0056_003,S0056,S0056_004,商会长惊讶,“这个完全是正常的价格波动啊——草药这东西，我们在沙漠里诶，出草药的地方就那么点。”,1,false,,,,,,
S0056_004,S0056,S0056_005,商会长惊讶,“然后从外面运，这大暴雨的，运费本来就一直在涨，没办法啊，不多出钱没人运啊。”,1,false,,,,,,
S0056_005,S0056,S0056_006,商会长为难,“关键是，本来的量供给下城区还勉勉强强足够，但现在上城区流行泡药浴，他们的管家也都在采购啊。”,1,false,,,,,,
S0056_006,S0056,S0056_007,商会长为难,“一个个家族名一报，我谁也得罪不起啊。”,1,false,,,,,,
S0056_007,S0056,S0056_008,商会长为难,“大臣阁下，要么您来决定一下这些草药的去留，不然我是真的自己做不了主啊。”,1,false,,,,,,
S0056_008,S0056,S0056_009|S0056_010,骷髅思考,“……先让上城区买吧，热度过去了就好了。”|“……人命要紧，先供给下城区吧。”,0,true,,,,,,
S0056_009,S0056,END,商会长为难,“那您可千万别让下城区的那些家伙冲进来啊，我的小店就靠您了。”,1,false,,,,,,
S0056_010,S0056,END,商会长为难,“那您可千万别让上面的那些家伙找个什么理由把我店封了啊，我的小店就靠您了。”,1,false,,,,,,
说明,S0056,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0056,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0056,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0056,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0056,,,,,false,,,,,,
