LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0058_001,S0058,S0058_002,,最近那些贵族愈来愈频繁的向你近乎威胁式的提出建议，但今天似乎那些跳的最欢的一下子都消停了。,0,false,,,,,,
S0058_002,S0058,S0058_003,,只是他们今天看你，或者说看近侍的眼神，都多多少少带了点复杂。,0,false,,,,,,
S0058_003,S0058,S0058_004,大贵族,“……我希望您可以更多的约束一下下属，当然，这只是一点小小的建议，告辞。”,,false,,,,,,
S0058_004,S0058,S0058_005,,在近侍离开的一小段时间里，一个贵族找到了你，在撂下一段话后就逃跑一样的离开了。,,false,,,,,,
S0058_005,S0058,S0058_006,骷髅,“所以你到底干了什么？”,,false,,,,,,
S0058_006,S0058,S0058_007,近侍,“我只是在休息日，找他们聊了聊天，让他们稍微以大局为重了一点。”,,false,,,,,,
S0058_007,S0058,S0058_008,骷髅,“……这样子不会出事吗？”,,false,,,,,,
S0058_008,S0058,S0058_009,近侍,“您放心，我很清楚分寸，而且不能让他们继续这样子得寸进尺了。”,,false,,,,,,
S0058_009,S0058,S0058_010,近侍,“而且他们也知道这是我的私人行为，他们也无权去管一个神选者的所做作为。”,,false,,,,,,
S0058_010,S0058,S0058_011,骷髅,“下一次别在不告诉我就去做了。”,,false,,,,,,
S0058_011,S0058,END,近侍,“是，我的大人。”,,false,,,,,,
说明,S0058,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0058,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0058,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0058,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0058,,,,,false,,,,,,
