LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0033_001,S0033,S0033_002,总会长生气,“简直是一群蛆！一群饭桶！简直无可救药！把我当野兽人整！”,1,false,,,,,,
S0033_002,S0033,S0033_003,,暴怒的总会长在办公室中来回踱步，甚至没有察觉到前来巡查的你们此刻正在门外。,0,false,,,,,,
S0033_003,S0033,S0033_004,,近侍不知何时顺来了一盘甜品，静静地看着里面的总会长训斥下属。,0,false,,,,,,
S0033_004,S0033,S0033_005,总会长抓狂,“现在！给我滚出去好好想想怎么办！……啊，老大，您来了……抱歉，刚刚让你看到了不堪入目的一面。”,1,false,,,,,,
S0033_005,S0033,S0033_006,,在赶走所有人后，总会长发现了你们，脸上带着挤出来的笑试图掩盖刚刚的火气。,0,false,,,,,,
S0033_006,S0033,S0033_007,总会长抓狂,“……现在我们的信使系统，已经烂到根子里了，老大。”,1,false,,,,,,
S0033_007,S0033,S0033_008,总会长抓狂,“我刚刚收到了一封来自其他城市工会的警告，他们在疑似发现了邪教徒混在冒险者里，根据动向似乎是要渗透王都……”,1,false,,,,,,
S0033_008,S0033,S0033_009,总会长生气,“很正常的预警公文，一切都看起来很正常，但问题就出现在……这个公文应该在一个月前就出现在我的面前！”,1,false,,,,,,
S0033_009,S0033,S0033_010,总会长生气,“现在都过去多久了！对面就是爬都爬到王都扎根了！说不定都已经渗透结束拿到自己要的东西走人了！”,1,false,,,,,,
S0033_010,S0033,S0033_011,总会长正常,“老大，我们必须重新整顿邮局，建立一个新的信使体系了。”,1,false,,,,,,
S0033_011,S0033,S0033_012,总会长正常,“就是……在经费问题上，能否进行一些预算的支持，在这方面工会有些无力承担……”,1,false,,,,,,
S0033_012,S0033,S0033_013|S0033_014,骷髅思考,“我同意你的看法，这是必要的支出。”|“原则上我同意你的看法……但，我们要认清事实的阻碍。”,0,true,I0001,2,true|false,,,所需钱财
S0033_013,S0033,END,总会长开心,“这将成为再次连通王国基层情报互通的关键！”,1,false,,,,,,
S0033_014,S0033,S0033_015,总会长惊讶,“这个阻碍是指……”,1,false,,,,,,
S0033_015,S0033,S0033_016,近侍尬笑,“我们拨不出这个款。”,0,false,,,,,,
S0033_016,S0033,END,总会长正常,“哦……”,1,false,,,,,,
说明,S0033,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0033,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0033,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0033,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0033,,,,,false,,,,,,
